DateTime,AddedIPs,RemovedIPs
1542348296,1595,39
1542350186,190,32
1542352226,36,45
1542354048,41,28
1542355968,36,43
1542357777,22,39
1542359809,33,25
1542361710,44,35
1542363654,27,28
1542365560,27,39
1542367467,35,44
1542369401,32,28
1542371307,32,45
1542373293,36,47
1542375180,26,61
1542377071,33,62
1542378994,31,69
1542380946,36,62
1542382828,29,41
1542385137,28,832
1542387404,31,1035
1542389302,25,45
1542391306,28,43
1542393172,31,30
1542395087,26,38
1542396985,31,34
1542398936,33,31
1542400849,44,22
1542402757,15,36
1542404707,48,19
1542406674,40,32
1542408510,30,25
1542410443,33,32
1542412388,38,16
1542414267,21,34
1542416196,24,27
1542418123,33,36
1542420117,38,34
1542421962,26,36
1542423887,28,38
1542425832,19,40
1542427714,28,28
1542429630,20,24
1542431551,323,44
1542433487,121,46
1542435399,22,1416
1542437309,24,111
1542439233,19,110
1542441148,18,32
1542443082,21,33
1542445002,26,28
1542446904,101,26
1542448912,71,49
1542450768,60,23
1542452685,26,35
1542454601,64,29
1542456511,47,23
1542458436,110,36
1542460359,1520,25
1542462281,1158,30
1542464201,67,32
1542466109,74,27
1542468027,72,37
1542469947,66,29
1542471884,85,29
1542473947,56,26
1542475956,45,32
1542477910,46,22
1542479792,41,30
1542481731,63,28
1542483630,404,23
1542485549,940,30
1542487473,32,24
1542489646,41,43
1542491573,27,34
1542493497,29,33
1542495404,21,35
1542497579,34,32
1542499480,54,25
1542501381,31,20
1542503324,36,28
1542505241,34,34
1542507165,31,27
1542509082,15,34
1542511016,24,28
1542512923,27,14
1542514846,25,29
1542516767,21,32
1542518680,17,721
1542520916,33,35
1542523013,23,18
1542524953,21,26
1542526847,35,14
1542528766,31,23
1542530676,37,25
1542532612,36,23
1542534510,28,29
1542536438,31,52
1542538376,26,25
1542540265,28,67
1542542205,32,55
1542544103,27,66
1542546111,34,904
1542547971,33,1410
1542549875,28,214
1542551782,30,30
1542553754,107,40
1542555642,85,38
1542557618,97,63
1542559482,87,22
1542561559,48,31
1542563538,41,33
1542565477,41,31
1542567708,45,50
1542569546,58,38
1542571465,46,25
1542573387,29,25
1542575330,51,41
1542577232,47,24
1542579398,36,229
1542581319,22,40
1542583223,30,25
1542585170,36,54
1542587122,1817,21
1542588996,1956,1426
1542590903,1637,45
1542592894,329,27
1542594760,1135,32
1542596670,33,23
1542598612,35,26
1542600536,58,31
1542602438,72,23
1542604364,34,31
1542606269,42,27
1542608198,31,18
1542610120,26,26
1542612035,34,31
1542613963,28,34
1542615861,136,25
1542617778,155,31
1542619713,21,34
1542621700,34,19
1542623546,16,39
1542625477,22,33
1542627636,27,40
1542629577,30,21
1542631472,31,37
1542633419,40,46
1542635305,19,25
1542637250,34,15
1542639159,32,40
1542641078,22,69
1542642988,19,56
1542644925,19,110
1542646919,30,108
1542648925,48,35
1542650925,19,43
1542653086,40,56
1542655004,36,34
1542656908,23,92
1542658853,26,31
1542660747,1601,37
1542662678,19,66
1542664611,27,36
1542666590,29,41
1542668577,26,22
1542670466,19,37
1542672314,23,639
1542674228,20,1967
1542676146,23,1975
1542678058,29,962
1542679948,30,891
1542681878,28,569
1542683796,24,48
1542685721,21,35
1542687639,32,76
1542689570,18,69
1542691468,32,68
1542693404,246,21
1542695307,50,41
1542697307,20,47
1542699197,22,28
1542701206,317,198
1542703291,249,43
1542705205,174,60
1542707076,118,39
1542708992,113,47
1542710900,79,29
1542712832,70,30
1542714757,56,29
1542716689,63,63
1542718593,28,42
1542720511,35,42
1542722487,35,39
1542724367,39,31
1542726273,45,149
1542728185,39,26
1542730187,47,24
1542732028,102,24
1542733964,59,34
1542735871,42,46
1542738024,72,45
1542739970,32,31
1542741870,30,27
1542743804,48,31
1542745708,58,455
1542747694,46,1217
1542749557,47,21
1542751494,42,36
1542753388,47,24
1542755363,41,22
1542757237,34,20
1542759174,24,27
1542761095,21,22
1542763020,33,24
1542764922,160,24
1542766829,21,26
1542768759,22,31
1542770913,20,26
1542772903,22,38
1542774771,17,18
1542776683,25,21
1542778622,18,148
1542780539,33,141
1542782448,28,46
1542784373,29,27
1542786395,19,23
1542788244,35,46
1542790166,24,46
1542792042,24,47
1542793959,28,56
1542795867,18,43
1542797803,27,36
1542799723,24,45
1542801707,40,49
1542803565,24,47
1542805493,31,42
1542807406,35,33
1542809331,16,41
1542811241,24,29
1542813150,29,50
1542815060,42,33
1542817006,28,48
1542819065,29,41
1542821051,33,44
1542822987,32,38
1542824890,40,53
1542826896,110,25
1542828759,71,34
1542830663,50,38
1542832586,144,31
1542834753,54,31
1542836713,27,47
1542838594,30,47
1542840517,23,36
1542842446,58,34
1542844404,35,36
1542846517,29,19
1542848507,44,20
1542850356,49,25
1542852264,55,188
1542854204,45,29
1542856136,45,21
1542858037,37,30
1542859945,75,21
1542861876,25,25
1542863796,20,25
1542865703,28,24
1542867613,27,35
1542869548,23,31
1542871715,55,32
1542873694,22,27
1542875577,18,32
1542877472,32,40
1542879413,36,28
1542881313,25,30
1542883224,23,25
1542885166,33,39
1542887054,25,36
1542889001,37,42
1542890896,35,45
1542893089,27,43
1542894991,28,41
1542896896,28,36
1542898891,34,75
1542900758,26,59
1542902571,44,110
1542904607,43,50
1542906762,117,42
1542908663,127,31
1542910589,171,35
1542912760,38,58
1542914675,45,56
1542916580,46,30
1542918513,35,32
1542920511,39,47
1542922375,26,32
1542924265,27,20
1542926214,41,28
1542928112,35,39
1542930033,41,44
1542932070,30,33
1542934361,44,31
1542936265,32,51
1542938202,21,62
1542940099,54,39
1542942097,50,42
1542944198,951,39
1542946112,41,98
1542948020,127,28
1542949945,34,21
1542951877,35,27
1542953789,28,26
1542955702,29,25
1542957657,27,61
1542959543,47,20
1542961475,99,11
1542963378,25,36
1542965300,29,30
1542967318,48,22
1542969150,44,21
1542971073,31,21
1542972991,25,23
1542974905,53,42
1542976831,63,38
1542978746,41,28
1542980670,35,34
1542982609,35,30
1542984500,31,26
1542986709,32,32
1542988599,31,46
1542990517,27,41
1542992514,30,46
1542994372,34,48
1542996399,50,45
1542998830,79,164
1543000830,54,47
1543002985,36,32
1543004899,34,33
1543006913,44,40
1543008747,51,24
1543010671,44,28
1543012716,47,37
1543014553,25,27
1543016416,39,35
1543018583,36,34
1543020777,30,37
1543022681,48,36
1543024594,30,27
1543026533,27,47
1543028544,36,187
1543030381,17,795
1543032286,27,45
1543034184,38,24
1543036122,24,225
1543038035,22,37
1543039945,34,27
1543041879,78,50
1543043805,81,30
1543045698,32,35
1543047629,51,43
1543049558,40,42
1543051479,27,32
1543053396,33,46
1543055306,35,40
1543057508,1923,34
