DateTime,AddedIPs,RemovedIPs
1542672310,83,133
1542673474,70,1
1542674708,81,78
1542676447,87,84
1542678128,71,98
1542680046,92,128
1542681727,111,110
1542683658,111,117
1542685048,91,102
1542686489,62,102
1542687247,84,0
1542688090,52,1
1542689708,58,71
1542690909,48,105
1542692527,57,87
1542693908,84,96
1542695287,60,1
1542696425,68,138
1542697698,93,76
1542698888,81,0
1542700567,241,161
1542701708,202,115
1542702898,173,151
1542704169,123,65
1542705308,134,173
1542706087,55,0
1542707407,88,181
1542708608,79,426
1542709687,96,0
1542712214,202,528
1542714127,141,250
1542714968,60,0
1542716048,90,309
1542718568,154,399
1542719657,95,201
1542721327,102,334
1542722713,124,411
1542723914,61,1
1542725768,119,395
1542726847,61,373
1542728528,466,501
1542730448,125,593
1542731287,59,1
1542732127,49,547
1542732967,58,0
1542734108,44,637
1542735315,85,552
1542736514,70,75
1542737714,54,68
1542739207,71,199
1542740167,54,153
1542741308,53,71
1542742927,85,325
1542744308,92,276
1542746107,103,540
1542747367,77,242
1542748514,68,498
1542749627,78,217
1542750966,178,1
1542752047,68,220
1542753727,115,101
1542754568,54,44
1542756017,79,67
1542757207,44,153
1542758707,60,62
1542759248,13,0
1542760087,50,0
1542760927,45,889
1542762847,89,306
1542764527,118,184
1542765367,54,39
1542766456,102,84
1542767287,47,0
1542768967,71,135
1542770109,74,73
1542770888,29,0
1542771739,42,122
1542773648,156,165
1542774489,34,0
1542775964,58,95
1542777247,73,80
1542778087,40,0
1542778927,41,79
1542780847,84,93
1542782416,64,116
1542784218,77,160
1542785287,45,0
1542786488,59,142
1542787665,65,101
1542789320,93,100
1542790509,61,30
1542791648,52,59
1542792951,60,102
1542794108,55,24
1542795247,59,62
1542796087,56,0
1542797767,184,173
1542798847,51,70
1542799687,40,0
1542801368,110,166
1542802448,71,85
1542803287,41,0
1542804969,128,156
1542806047,81,77
1542807906,88,93
1542809107,64,82
1542810487,69,0
1542811813,66,104
1542813247,59,141
1542814417,44,99
1542815768,50,34
1542816848,51,90
1542818408,123,104
1542820215,447,155
1542821400,2306,120
1542822607,1848,36
1542823807,368,94
1542825598,1384,121
1542826575,734,24
1542827646,387,52
1542828831,468,69
1542830711,531,92
1542831248,117,0
1542832087,384,1
1542833767,351,137
1542834847,180,77
1542836107,225,83
1542837366,225,1
1542838455,183,88
1542839708,214,84
1542842080,282,97
1542842888,122,1
1542843728,40,122
1542844568,101,36
1542845707,102,75
1542846909,176,71
1542848108,122,0
1542849308,158,83
1542850928,155,109
1542852307,124,98
1542854536,204,128
1542855701,151,90
1542856808,86,1
1542858128,109,135
1542860047,294,75
1542861727,184,70
1542863648,143,83
1542865218,163,96
1542866708,168,129
1542867247,102,0
1542868087,92,1
1542869768,92,149
1542870919,72,77
1542871688,44,3
1542873007,109,158
1542874448,71,103
1542875289,41,2
1542876128,34,142
1542876970,51,36
1542878056,61,73
1542879728,70,129
1542881111,55,143
1542882489,95,2
1542883329,42,96
1542884167,36,48
1542885307,77,96
1542886087,69,0
1542887708,81,140
1542888917,61,138
1542890527,86,108
1542892448,87,164
1542893610,61,91
1542894759,72,57
1542896047,107,79
1542896888,40,2
1542897728,35,344
1542899648,138,251
1542900487,51,1
1542901690,73,145
1542903248,98,74
1542904927,106,108
1542906847,216,117
1542907688,136,0
1542909308,1205,89
1542910471,614,114
1542912130,795,94
1542912967,550,31
1542914115,446,74
1542915307,365,79
1542917706,846,112
1542919207,316,105
1542921254,465,140
1542922087,347,0
1542922928,248,161
1542924307,361,125
1542925687,422,0
1542926992,205,103
1542927366,213,0
1542928517,206,62
1542929288,356,0
1542930970,213,105
1542932047,203,55
1542933607,269,94
1542934567,136,0
1542936487,401,152
1542937328,103,149
1542938717,237,98
1542940096,265,0
1542942269,357,223
1542943854,304,135
1542945210,179,0
1542946508,147,84
1542947286,133,0
1542948127,63,121
1542948968,109,25
1542950055,94,64
1542951227,133,76
1542952509,132,27
1542953718,107,63
1542954498,117,1
1542956129,168,91
1542957317,125,105
1542958631,138,107
1542959768,176,39
1542960909,158,92
1542962135,147,107
1542963309,177,26
1542964448,106,76
1542965708,131,91
1542966967,162,3
1542968115,131,157
1542969279,115,80
1542970508,210,43
1542971655,233,78
1542973328,168,96
1542974680,154,130
1542975907,147,1
1542977776,418,142
1542978848,252,117
1542979688,76,0
1542980529,66,103
1542982817,273,111
1542984128,135,89
1542985817,226,136
1542987023,129,132
1542987728,77,0
1542988566,92,1
1542989708,121,134
1542990908,137,1514
1542991328,56,0
1542993256,191,1315
1542994928,187,860
1542995775,115,0
1542996907,225,542
1542998528,254,480
1543000447,185,375
1543001894,217,317
1543003508,209,287
1543004886,65,0
1543006567,80,271
1543007707,55,234
1543008488,29,0
1543009808,69,262
1543011016,52,164
1543011246,15,0
1543012417,95,162
1543012928,24,0
1543013767,51,0
1543014908,40,153
1543015687,35,0
1543016866,66,194
1543018447,96,121
1543019707,69,186
1543020908,69,29
1543022108,51,103
1543022888,25,1
1543023728,54,179
1543025108,62,179
1543026308,43,0
1543027509,48,150
1543029017,67,206
1543030089,61,0
1543031768,75,249
1543032848,47,106
1543034416,70,151
1543036447,78,214
1543037296,37,0
1543038607,86,248
1543039775,51,93
1543040048,15,0
1543043415,231,263
1543044613,69,84
1543045806,54,0
1543047015,66,98
1543048088,42,1
1543049707,109,107
1543050846,66,53
1543052529,86,115
1543053368,41,34
1543054447,49,64
1543055286,33,0
1543056608,50,153
1543058047,56,109
